Sayaç_Kodu,Sayaç_Seri_No,Dönem,Gün,Saat,Çekiş
2127570400.0,500279486,01/2025,29,05-06,7.254
2127570400.0,500279486,01/2025,30,05-06,7.336
2127570400.0,500279486,01/2025,31,05-06,7.323
2127570400.0,500279486,01/2025,1,06-07,6.96
2127570400.0,500279486,01/2025,2,06-07,6.895
2127570400.0,500279486,01/2025,3,06-07,6.885
2127570400.0,500279486,01/2025,4,06-07,6.925
2127570400.0,500279486,01/2025,5,06-07,6.975
2127570400.0,500279486,01/2025,6,06-07,6.995
2127570400.0,500279486,01/2025,7,06-07,6.912
2127570400.0,500279486,01/2025,8,06-07,6.928
2127570400.0,500279486,01/2025,9,06-07,6.973
2127570400.0,500279486,01/2025,10,06-07,7.004
2127570400.0,500279486,01/2025,11,06-07,6.932
2127570400.0,500279486,01/2025,12,06-07,6.982
2127570400.0,500279486,01/2025,13,06-07,6.926
2127570400.0,500279486,01/2025,14,06-07,6.866
2127570400.0,500279486,01/2025,15,06-07,6.878
2127570400.0,500279486,01/2025,16,06-07,6.919
2127570400.0,500279486,01/2025,17,06-07,6.939
2127570400.0,500279486,01/2025,18,06-07,6.955
2127570400.0,500279486,01/2025,19,06-07,7.015
2127570400.0,500279486,01/2025,20,06-07,6.881
2127570400.0,500279486,01/2025,21,06-07,6.938
2127570400.0,500279486,01/2025,22,06-07,7.16
2127570400.0,500279486,01/2025,23,06-07,7.256
2127570400.0,500279486,01/2025,24,06-07,7.275
2127570400.0,500279486,01/2025,25,06-07,7.285
2127570400.0,500279486,01/2025,26,06-07,7.361
2127570400.0,500279486,01/2025,27,06-07,7.306
2127570400.0,500279486,01/2025,28,06-07,7.251
2127570400.0,500279486,01/2025,29,06-07,7.193
2127570400.0,500279486,01/2025,30,06-07,7.319
2127570400.0,500279486,01/2025,31,06-07,7.281
2127570400.0,500279486,01/2025,1,07-08,6.98
2127570400.0,500279486,01/2025,2,07-08,6.803
2127570400.0,500279486,01/2025,3,07-08,6.815
2127570400.0,500279486,01/2025,4,07-08,6.89
2127570400.0,500279486,01/2025,5,07-08,6.961
2127570400.0,500279486,01/2025,6,07-08,6.887
2127570400.0,500279486,01/2025,7,07-08,6.843
2127570400.0,500279486,01/2025,8,07-08,6.863
2127570400.0,500279486,01/2025,9,07-08,6.865
2127570400.0,500279486,01/2025,10,07-08,6.909
2127570400.0,500279486,01/2025,11,07-08,6.878
2127570400.0,500279486,01/2025,12,07-08,6.966
2127570400.0,500279486,01/2025,13,07-08,6.857
2127570400.0,500279486,01/2025,14,07-08,6.834
2127570400.0,500279486,01/2025,15,07-08,6.815
2127570400.0,500279486,01/2025,16,07-08,6.86
2127570400.0,500279486,01/2025,17,07-08,6.818
2127570400.0,500279486,01/2025,18,07-08,6.891
2127570400.0,500279486,01/2025,19,07-08,7.013
2127570400.0,500279486,01/2025,20,07-08,6.9
2127570400.0,500279486,01/2025,21,07-08,6.836
2127570400.0,500279486,01/2025,22,07-08,7.251
2127570400.0,500279486,01/2025,23,07-08,7.196
2127570400.0,500279486,01/2025,24,07-08,7.244
2127570400.0,500279486,01/2025,25,07-08,7.253
2127570400.0,500279486,01/2025,26,07-08,7.358
2127570400.0,500279486,01/2025,27,07-08,7.213
2127570400.0,500279486,01/2025,28,07-08,7.202
2127570400.0,500279486,01/2025,29,07-08,7.143
2127570400.0,500279486,01/2025,30,07-08,7.274
2127570400.0,500279486,01/2025,31,07-08,7.273
2127570400.0,500279486,01/2025,1,08-09,3.485
2127570400.0,500279486,01/2025,2,08-09,3.396
2127570400.0,500279486,01/2025,3,08-09,3.371
2127570400.0,500279486,01/2025,4,08-09,3.41
2127570400.0,500279486,01/2025,5,08-09,3.456
2127570400.0,500279486,01/2025,6,08-09,3.388
2127570400.0,500279486,01/2025,7,08-09,3.364
2127570400.0,500279486,01/2025,8,08-09,3.272
2127570400.0,500279486,01/2025,9,08-09,3.273
2127570400.0,500279486,01/2025,10,08-09,3.258
2127570400.0,500279486,01/2025,11,08-09,3.278
2127570400.0,500279486,01/2025,12,08-09,3.221
2127570400.0,500279486,01/2025,13,08-09,3.108
2127570400.0,500279486,01/2025,14,08-09,3.107
2127570400.0,500279486,01/2025,15,08-09,2.992
2127570400.0,500279486,01/2025,16,08-09,2.996
2127570400.0,500279486,01/2025,17,08-09,2.872
2127570400.0,500279486,01/2025,18,08-09,2.942
2127570400.0,500279486,01/2025,19,08-09,2.86
2127570400.0,500279486,01/2025,20,08-09,2.803
2127570400.0,500279486,01/2025,21,08-09,2.659
2127570400.0,500279486,01/2025,22,08-09,2.814
2127570400.0,500279486,01/2025,23,08-09,2.691
2127570400.0,500279486,01/2025,24,08-09,2.572
2127570400.0,500279486,01/2025,25,08-09,2.583
2127570400.0,500279486,01/2025,26,08-09,2.506
2127570400.0,500279486,01/2025,27,08-09,2.307
2127570400.0,500279486,01/2025,28,08-09,2.202
2127570400.0,500279486,01/2025,29,08-09,2.073
2127570400.0,500279486,01/2025,30,08-09,1.969
2127570400.0,500279486,01/2025,31,08-09,1.853
2127570400.0,500279486,01/2025,1,09-10,0.0
2127570400.0,500279486,01/2025,2,09-10,0.0
2127570400.0,500279486,01/2025,3,09-10,0.001
2127570400.0,500279486,01/2025,4,09-10,0.001
2127570400.0,500279486,01/2025,5,09-10,0.001
2127570400.0,500279486,01/2025,6,09-10,0.0
2127570400.0,500279486,01/2025,7,09-10,0.0
2127570400.0,500279486,01/2025,8,09-10,0.0
2127570400.0,500279486,01/2025,9,09-10,0.001
2127570400.0,500279486,01/2025,10,09-10,0.0
2127570400.0,500279486,01/2025,11,09-10,0.0
2127570400.0,500279486,01/2025,12,09-10,0.0
2127570400.0,500279486,01/2025,13,09-10,0.0
2127570400.0,500279486,01/2025,14,09-10,0.001
2127570400.0,500279486,01/2025,15,09-10,0.001
2127570400.0,500279486,01/2025,16,09-10,0.0
2127570400.0,500279486,01/2025,17,09-10,0.001
2127570400.0,500279486,01/2025,18,09-10,0.001
2127570400.0,500279486,01/2025,19,09-10,0.0
2127570400.0,500279486,01/2025,20,09-10,0.001
2127570400.0,500279486,01/2025,21,09-10,0.0
2127570400.0,500279486,01/2025,22,09-10,0.001
2127570400.0,500279486,01/2025,23,09-10,0.0
2127570400.0,500279486,01/2025,24,09-10,0.0
2127570400.0,500279486,01/2025,25,09-10,0.001
2127570400.0,500279486,01/2025,26,09-10,0.0
2127570400.0,500279486,01/2025,27,09-10,0.0
2127570400.0,500279486,01/2025,28,09-10,0.001
2127570400.0,500279486,01/2025,29,09-10,0.001
2127570400.0,500279486,01/2025,30,09-10,0.0
2127570400.0,500279486,01/2025,31,09-10,0.001
2127570400.0,500279486,01/2025,1,10-11,0.001
2127570400.0,500279486,01/2025,2,10-11,0.001
2127570400.0,500279486,01/2025,3,10-11,0.0
2127570400.0,500279486,01/2025,4,10-11,0.0
2127570400.0,500279486,01/2025,5,10-11,0.0
2127570400.0,500279486,01/2025,6,10-11,0.0
2127570400.0,500279486,01/2025,7,10-11,0.001
2127570400.0,500279486,01/2025,8,10-11,0.001
2127570400.0,500279486,01/2025,9,10-11,0.0
2127570400.0,500279486,01/2025,10,10-11,0.001
2127570400.0,500279486,01/2025,11,10-11,0.0
2127570400.0,500279486,01/2025,12,10-11,0.001
2127570400.0,500279486,01/2025,13,10-11,0.001
2127570400.0,500279486,01/2025,14,10-11,0.0
2127570400.0,500279486,01/2025,15,10-11,0.0
2127570400.0,500279486,01/2025,16,10-11,0.001
2127570400.0,500279486,01/2025,17,10-11,0.0
2127570400.0,500279486,01/2025,18,10-11,0.0
2127570400.0,500279486,01/2025,19,10-11,0.001
2127570400.0,500279486,01/2025,20,10-11,0.0
2127570400.0,500279486,01/2025,21,10-11,0.001
2127570400.0,500279486,01/2025,22,10-11,0.0
2127570400.0,500279486,01/2025,23,10-11,0.001
2127570400.0,500279486,01/2025,24,10-11,0.001
2127570400.0,500279486,01/2025,25,10-11,0.0
2127570400.0,500279486,01/2025,26,10-11,0.001
2127570400.0,500279486,01/2025,27,10-11,0.001
2127570400.0,500279486,01/2025,28,10-11,0.0
2127570400.0,500279486,01/2025,29,10-11,0.0
2127570400.0,500279486,01/2025,30,10-11,0.001
2127570400.0,500279486,01/2025,31,10-11,0.0
2127570400.0,500279486,01/2025,1,11-12,0.0
2127570400.0,500279486,01/2025,2,11-12,0.0
2127570400.0,500279486,01/2025,3,11-12,0.001
2127570400.0,500279486,01/2025,4,11-12,0.001
2127570400.0,500279486,01/2025,5,11-12,0.0
2127570400.0,500279486,01/2025,6,11-12,0.001
2127570400.0,500279486,01/2025,7,11-12,0.0
2127570400.0,500279486,01/2025,8,11-12,0.0
2127570400.0,500279486,01/2025,9,11-12,0.0
2127570400.0,500279486,01/2025,10,11-12,0.0
2127570400.0,500279486,01/2025,11,11-12,0.001
2127570400.0,500279486,01/2025,12,11-12,0.0
2127570400.0,500279486,01/2025,13,11-12,0.0
2127570400.0,500279486,01/2025,14,11-12,0.001
2127570400.0,500279486,01/2025,15,11-12,0.0
2127570400.0,500279486,01/2025,16,11-12,0.0
2127570400.0,500279486,01/2025,17,11-12,0.001
2127570400.0,500279486,01/2025,18,11-12,0.001
2127570400.0,500279486,01/2025,19,11-12,0.0
2127570400.0,500279486,01/2025,20,11-12,0.001
2127570400.0,500279486,01/2025,21,11-12,0.0
2127570400.0,500279486,01/2025,22,11-12,0.0
2127570400.0,500279486,01/2025,23,11-12,0.0
2127570400.0,500279486,01/2025,24,11-12,0.0
2127570400.0,500279486,01/2025,25,11-12,0.001
2127570400.0,500279486,01/2025,26,11-12,0.0
