date,daily_active_kwh,active_hours_count,mean_active_intensity,p10_active,night_missing_frac,has_imputed_long,rolling_28d_median,daily_kwh_norm,delta_1d,delta_7d,rolling_7d_std,rolling_28d_zscore,day_of_year,month,month_sin,month_cos,day_of_year_sin,day_of_year_cos
2025-09-24,87.86499999999998,13,6.758846153846152,4.579200000000001,0.4583333333333333,0,82.3765,1.0666270113442546,0.19799999999996487,1.7739999999999867,0.517780795686051,1.3863585141939514,267,9,-1.0,-1.8369701987210297e-16,-0.9932568492674143,-0.11593459959550066
2025-09-25,87.862,13,6.758615384615384,4.655400000000001,0.4583333333333333,0,82.7595,1.061654553253705,-0.002999999999985903,1.2819999999999823,0.45300982854925836,1.3513097539351018,268,9,-1.0,-1.8369701987210297e-16,-0.9951053111006974,-0.09882013873287211
2025-09-26,88.21399999999998,13,6.785692307692306,4.757200000000001,0.4583333333333333,0,83.07400000000001,1.061872547367407,0.35199999999998965,1.3039999999999878,0.45737511956851606,1.3487079991254292,269,9,-1.0,-1.8369701987210297e-16,-0.99665890175417,-0.08167639533042288
2025-09-27,89.05099999999999,13,6.850076923076922,4.921200000000001,0.4583333333333333,0,83.2215,1.070048004421934,0.8370000000000033,2.0349999999999824,0.6111019321102422,1.4844933567620124,270,9,-1.0,-1.8369701987210297e-16,-0.9979171608653922,-0.06450844944931625
2025-09-28,89.333,13,6.871769230769231,5.0474000000000006,0.4583333333333333,0,83.475,1.0701766996106619,0.2820000000000107,2.309999999999988,0.6574082228181084,1.6338311636440401,271,9,-1.0,-1.8369701987210297e-16,-0.9988797155850335,-0.04732138832243232
2025-09-29,87.377,13,6.7213076923076915,4.505400000000001,0.4583333333333333,0,83.9265,1.0411133551381266,-1.956000000000003,-0.49800000000000466,0.7298214067253589,0.924695248010344,272,9,-1.0,-1.8369701987210297e-16,-0.9995462806873573,-0.03012030484690836
2025-09-30,90.29899999999999,13,6.946076923076922,5.1946,0.4583333333333333,0,84.6155,1.0671685447701662,2.921999999999997,2.6319999999999766,1.0288527360031858,1.7961806463592305,273,9,-1.0,-1.8369701987210297e-16,-0.9999166586547379,-0.012910296075008843
2025-10-01,86.422,13,6.647846153846154,5.1244000000000005,0.4583333333333333,0,85.525,1.0104881613563284,-3.8769999999999953,-1.4429999999999836,1.3022530293231198,0.44201205961433393,274,10,-0.8660254037844386,0.5000000000000001,-0.9999907397361901,0.004303538296243821
2025-10-02,75.953,12,6.329416666666667,6.2047,0.4583333333333333,0,86.25649999999999,0.8805481326044995,-10.468999999999994,-11.908999999999992,4.894376175045952,-3.116914465704635,275,10,-0.8660254037844386,0.5000000000000001,-0.9997685019798909,0.021516097436222233
2025-10-03,73.882,13,5.68323076923077,4.1934000000000005,0.4583333333333333,0,86.25649999999999,0.8565383478346561,-2.070999999999998,-14.33199999999998,6.774546496858338,-3.4816667660539484,276,10,-0.8660254037844386,0.5000000000000001,-0.9992500112396835,0.03872228089217399
2025-10-04,79.065,13,6.0819230769230765,4.8194,0.4583333333333333,0,86.25649999999999,0.9166265730698557,5.182999999999993,-9.98599999999999,6.73646520633714,-1.5397236786155999,277,10,-0.8660254037844386,0.5000000000000001,-0.9984354211555643,0.05591699010060302
2025-10-05,80.253,13,6.173307692307692,5.0762,0.4583333333333333,0,86.25649999999999,0.9303994481575303,1.1880000000000024,-9.079999999999998,6.210123965483067,-1.171503014799013,278,10,-0.8660254037844386,0.5000000000000001,-0.9973249731081555,0.07309512989807776
2025-10-06,80.067,13,6.159,4.997,0.4583333333333333,0,86.25649999999999,0.9282430889266317,-0.18600000000000705,-7.310000000000002,5.730330552254011,-1.19004711239816,279,10,-0.8660254037844386,0.5000000000000001,-0.9959189961471792,0.0902516100310407
