date,daily_active_kwh,baseline_kwh,deviation_pct,active_hours_count,mean_active_intensity,t1a_zscore_severity,t1b_cusum_severity,t2a_iforest_severity,t2b_lstm_severity,t3_changepoint_severity,s1,s2,s3,ensemble_score,vote_count,anomaly_type,confidence,physically_supported,is_ground_truth
2025-10-01,86.422,85.525,1.0488161356205825,13,6.647846153846154,0.0,0.0,0.13660484143819326,0.0,0.0,0.0,0.13660484143819326,0.0,0.04781169450336764,0,normal,low,False,0
2025-10-02,75.953,86.25649999999999,-11.945186739411563,12,6.329416666666667,0.0,0.0,0.370131907007817,0.0,0.0,0.03254772104584579,0.370131907007817,0.0,0.14093786981878198,0,sudden_drop,low,False,0
2025-10-03,73.882,86.25649999999999,-14.346165216368068,13,5.68323076923077,0.0,0.0,0.4111902751010879,0.0,0.0,0.3983754876326653,0.4111902751010879,0.0,0.28334801695681355,1,sudden_drop,moderate,False,0
2025-10-04,79.065,86.25649999999999,-8.337342692917773,13,6.0819230769230765,0.0,0.0,0.31069713611165856,0.0,0.0,0.09056598765485346,0.31069713611165856,0.0,0.1404420933182792,0,gradual_decline,low,False,0
2025-10-05,80.253,86.25649999999999,-6.960055184166281,13,6.173307692307692,0.0,0.0,0.22955647989158784,0.0,0.0,0.09388041900277343,0.22955647989158784,0.0,0.11320291461302644,0,gradual_decline,low,False,0
2025-10-06,80.067,86.25649999999999,-7.175691107253644,13,6.159,0.0,0.0,0.21528535000814744,0.0,0.0,0.09845936009111536,0.21528535000814744,0.0,0.10981064853474198,0,gradual_decline,low,False,0
2025-10-07,83.548,86.25649999999999,-3.1400532133446015,13,6.426769230769231,0.0,0.0,0.18610052509353567,0.0,0.0,0.07937293340306657,0.18610052509353567,0.0,0.09291571047381078,0,normal,low,False,0
2025-10-08,83.418,86.25649999999999,-3.2907664929217795,13,6.416769230769232,0.0,0.0,0.11500685781732568,0.0,0.0,0.06117030384542018,0.11500685781732568,0.0,0.061662006581961054,0,normal,low,False,0
2025-10-09,83.53,86.25649999999999,-3.160921205901443,13,6.425384615384616,0.0,0.0,0.11325798388049663,0.0,0.0,0.04220624906773481,0.11325798388049663,0.0,0.054412481531880996,0,normal,low,False,0
2025-10-10,84.27900000000001,86.25649999999999,-2.292580848952893,13,6.4830000000000005,0.0,0.0,0.10851315719005625,0.0,0.0,0.018150163131038583,0.10851315719005625,0.0,0.04433216211238319,0,normal,low,False,0
2025-10-11,85.029,86.25649999999999,-1.4230811590845458,13,6.540692307692307,0.0,0.0,0.09876456190298726,0.0,0.0,0.0,0.09876456190298726,0.0,0.03456759666604554,0,normal,low,False,0
2025-10-12,86.017,86.25649999999999,-0.2776602342979554,13,6.616692307692308,0.0,0.0,0.09229253830825107,0.0,0.0,0.0,0.09229253830825107,0.0,0.03230238840788787,0,normal,low,False,0
2025-10-13,85.499,86.25649999999999,-0.8781946867670395,13,6.576846153846153,0.0,0.0,0.07834634730185015,0.0,0.0,0.0,0.07834634730185015,0.0,0.02742122155564755,0,normal,low,False,0
2025-10-14,84.50800000000001,86.25649999999999,-2.027093610313087,13,6.500615384615386,0.0,0.0,0.08473238834797103,0.0,0.0,0.0,0.08473238834797103,0.0,0.02965633592178986,0,normal,low,False,0
2025-10-15,84.863,86.25649999999999,-1.615530423775407,13,6.527923076923077,0.0,0.0,0.08104633745115335,0.0,0.0,0.0,0.08104633745115335,0.0,0.02836621810790367,0,normal,low,False,0
2025-10-16,82.216,86.2195,-4.643381137623819,13,6.324307692307692,0.0,0.0,0.1091185943661042,0.0,0.0,0.0,0.1091185943661042,0.0,0.03819150802813647,0,normal,low,False,0
2025-10-17,79.306,85.758,-7.523496350107002,13,6.100461538461539,0.0,0.0,0.17209137618795062,0.0,0.0,0.0066185043997838535,0.17209137618795062,0.0,0.06254845820570706,0,gradual_decline,low,False,0
2025-10-18,85.752,85.264,0.5723400262646324,13,6.596307692307692,0.0,0.0,0.14566399750768053,0.0,0.0,0.0,0.14566399750768053,0.0,0.050982399127688184,0,normal,low,False,0
2025-10-19,85.944,85.264,0.797522987417939,13,6.611076923076923,0.0,0.0,0.08852120054769372,0.0,0.0,0.0,0.08852120054769372,0.0,0.0309824201916928,0,normal,low,False,0
2025-10-20,86.555,85.264,1.5141208481714086,13,6.658076923076924,0.0,0.0,0.08451257285349889,0.0,0.0,0.0,0.08451257285349889,0.0,0.02957940049872461,0,normal,low,False,0
2025-10-21,86.50200000000001,85.264,1.45196096826972,13,6.654000000000001,0.0,0.0,0.08634118445352451,0.0,0.0,0.0,0.08634118445352451,0.0,0.030219414558733577,0,normal,low,False,0
2025-10-22,86.934,85.264,1.958622630864627,13,6.687230769230769,0.0,0.0,0.0893466260602155,0.0,0.0,0.0,0.0893466260602155,0.0,0.03127131912107542,0,normal,low,False,0
2025-10-23,87.175,85.264,2.2412741602289223,14,6.226785714285714,0.0,0.0,0.1316386996514936,0.0,0.0,0.0,0.1316386996514936,0.0,0.04607354487802276,0,normal,low,False,0
2025-10-24,87.41100000000002,85.264,2.5180615499798735,14,6.243642857142858,0.0,0.0,0.14133851412390552,0.0,0.0,0.0,0.14133851412390552,0.0,0.04946847994336693,0,normal,low,False,0
2025-10-25,86.19500000000001,85.264,1.091902796008975,14,6.156785714285715,0.0,0.0,0.11485718054987067,0.0,0.0,0.0,0.11485718054987067,0.0,0.04020001319245473,0,normal,low,False,0
2025-10-26,88.01599999999999,85.264,3.2276224431972684,14,6.286857142857143,0.0,0.0,0.1263328752204013,0.0,0.0,0.0,0.1263328752204013,0.0,0.04421650632714045,0,normal,low,False,0
2025-10-27,88.00099999999999,85.264,3.2100300243571667,14,6.285785714285714,0.0,0.0,0.10288080593551813,0.0,0.0,0.0,0.10288080593551813,0.0,0.03600828207743134,0,normal,low,False,0
2025-10-28,88.60000000000001,85.264,3.9125539500385713,14,6.328571428571429,0.0,0.0,0.09987398439605931,0.0,0.0,0.0,0.09987398439605931,0.0,0.03495589453862075,0,normal,low,False,0
