Date,OSF_ID,NightMean,DailyTotal,NightEfficiency,NightSlope_14d,NightSlope_30d,DailySlope_14d,DailySlope_30d,Night_Volatility_14d,Night_Volatility_30d,FlagAccum_14d,DegradationScore,RiskLevel,missing_ratio,data_quality_flag
2025-05-20,2193681000,6.51,65.861,0.9499073437687089,-0.02913120879120941,-0.028750100111234713,-0.09841318681318564,-0.3258438264738567,0.253083930069336,0.3034802749749162,15.0,50.0,MEDIUM_RISK,0.0,complete
2025-05-21,2193681000,6.5294,65.85,0.952738096836161,-0.017201978021977503,-0.0278828698553947,-0.007404395604390633,-0.30060111234705095,0.23033177134322955,0.2987543191819748,15.0,40.0,MEDIUM_RISK,0.0,complete
2025-05-22,2193681000,6.5249,65.749,0.9520814788565973,-0.008487912087911978,-0.027588253615128015,0.05069670329670246,-0.2824760845383718,0.2191603166533675,0.2974268982726549,15.0,30.0,LOW_RISK,0.0,complete
2025-05-23,2193681000,6.4825,65.168,0.9458946783380423,-0.00030505494505461337,-0.027910344827586146,0.09020000000000351,-0.2695181312569558,0.206531129016299,0.2987639233325499,15.0,30.0,LOW_RISK,0.0,complete
2025-05-24,2193681000,6.4533,64.871,0.9416339572262071,0.005844835164835033,-0.027052525027808645,0.09914945054944517,-0.2500760845383795,0.19815005136800434,0.29370926591624213,15.0,30.0,LOW_RISK,0.0,complete
2025-05-25,2193681000,6.4271,64.41,0.9378109814340813,0.01296087912087901,-0.02652240266963316,0.10499560439560669,-0.23642491657397557,0.18566310148423978,0.29073195230650933,15.0,30.0,LOW_RISK,0.0,complete
2025-05-26,2193681000,6.474,64.801,0.9446543999321999,-0.003947252747252784,-0.025265650723025612,-0.0859912087912081,-0.21631813125695562,0.09917479075288775,0.28385092463085887,14.0,30.0,LOW_RISK,0.0,complete
2025-05-27,2193681000,6.4458,64.54,0.9405395939269345,0.004718901098900829,-0.024616462736373523,-0.022279120879121685,-0.20339822024471635,0.05320921231070082,0.28066562680343665,14.0,30.0,LOW_RISK,0.0,complete
2025-05-28,2193681000,6.481,64.829,0.9456758056781878,0.005025054945055138,-0.022988542825361332,-0.02275824175823737,-0.18469054505005575,0.05348968884922376,0.271908793637631,14.0,30.0,LOW_RISK,0.0,complete
2025-05-29,2193681000,6.434,64.231,0.9388177956694121,0.0024120879120875923,-0.02157408231368197,-0.0530153846153867,-0.1700373748609569,0.051327107098266135,0.26374745298111146,14.0,30.0,LOW_RISK,0.0,complete
2025-05-30,2193681000,6.4185,64.006,0.9365561115175819,-0.00046659340659343124,-0.019967942157953254,-0.08667252747252166,-0.1566542825361501,0.05067802534380374,0.253848956017678,14.0,30.0,LOW_RISK,0.0,complete
