Date,n_present,DailyTotal_kWh,DailyExpected_kWh,DailyResidual,Mean_Abs_Residual,Max_Abs_ZScore,Anomaly_Hours,Daily_Anomaly_Score
2025-03-29,24,81.59,85.0505,-3.4604999999999992,0.21852083333333328,2.3135322293709564,0,0.21852083333333328
2025-08-12,24,68.724,66.365,2.359,0.21812499999999999,2.2912825974899493,0,0.21812499999999999
2025-10-05,24,80.258,85.345,-5.086999999999997,0.21712499999999998,2.274501617085787,0,0.21712499999999998
2026-02-05,24,98.91,94.3485,4.561500000000002,0.21539583333333345,1.652689919814042,0,0.21539583333333345
2025-08-16,24,64.949,70.066,-5.117000000000002,0.21325000000000008,1.7488839069761069,0,0.21325000000000008
2026-02-04,24,99.216,94.3485,4.8675,0.2123958333333333,1.7452899420021286,0,0.2123958333333333
2025-04-29,24,70.405,75.4845,-5.0794999999999995,0.21206249999999996,2.0310054761673677,0,0.21206249999999996
2026-01-16,24,97.757,97.6845,0.07250000000000179,0.21010416666666662,2.0020192600053885,0,0.21010416666666662
2026-01-10,24,101.477,96.457,5.02,0.2092083333333333,1.9517963363806923,0,0.2092083333333333
2025-05-10,24,65.549,64.846,0.7030000000000002,0.2087083333333333,2.054138366408614,0,0.2087083333333333
2025-08-17,24,65.36,70.066,-4.706000000000001,0.20375000000000007,1.9364879231109704,0,0.20375000000000007
2025-03-02,24,89.049,85.0505,3.9985000000000004,0.20218749999999996,2.071969121337354,0,0.20218749999999996
2025-04-27,24,70.645,75.4845,-4.8395,0.20206250000000003,2.309285788721465,0,0.20206250000000003
2025-05-08,24,66.547,65.267,1.2800000000000031,0.20162499999999986,2.0312500701818323,0,0.20162499999999986
2026-01-14,24,99.352,97.6845,1.6674999999999993,0.20097916666666668,2.0020192600053885,0,0.20097916666666668
2025-07-28,24,65.503,61.397,4.106,0.19975000000000007,2.1255206273476754,0,0.19975000000000007
2025-08-02,24,68.798,70.066,-1.2680000000000005,0.19741666666666666,2.070192392321649,0,0.19741666666666666
2025-04-02,24,80.128,75.4845,4.643500000000001,0.19718750000000007,1.9621378370424127,0,0.19718750000000007
2025-05-09,24,66.38,65.267,1.1130000000000004,0.19574999999999998,2.1937362843585877,0,0.19574999999999998
2025-04-28,24,70.82000000000001,75.4845,-4.664499999999998,0.19452083333333323,1.9621378370424127,0,0.19452083333333323
2025-08-03,24,69.273,70.066,-0.7930000000000008,0.19299999999999992,1.0851058929259818,0,0.19299999999999992
2025-02-28,24,89.73,94.3485,-4.618499999999997,0.19277083333333325,2.025090983435007,0,0.19277083333333325
2025-01-18,24,96.791,96.457,0.3340000000000005,0.19079166666666666,1.9436468538446654,0,0.19079166666666666
2025-03-05,23,87.876,84.161,3.7149999999999994,0.19047826086956524,1.6673347474407174,0,0.19047826086956524
2025-07-17,24,56.874,61.397,-4.523,0.19037499999999996,2.34204459255357,0,0.19037499999999996
2026-01-11,24,98.834,96.457,2.3770000000000024,0.19012500000000007,2.0300727544864547,0,0.19012500000000007
2025-01-19,24,97.145,96.457,0.6879999999999988,0.18924999999999995,2.0300727544864547,0,0.18924999999999995
2025-06-01,24,64.493,59.961,4.531999999999998,0.18883333333333327,2.1546824827777225,0,0.18883333333333327
2025-05-11,24,65.764,64.846,0.918,0.18841666666666665,1.999996000008,0,0.18841666666666665
2025-01-12,24,97.729,96.457,1.2720000000000007,0.18795833333333337,2.0300727544864547,0,0.18795833333333337
2025-04-05,24,79.922,75.4845,4.437499999999998,0.1853541666666666,2.160242232812701,0,0.1853541666666666
2025-07-09,24,56.982,61.397,-4.414999999999999,0.1839583333333333,1.2209429924396975,0,0.1839583333333333
2025-05-03,24,69.251,64.846,4.404999999999999,0.18387499999999998,2.2677816952098833,0,0.18387499999999998
2025-04-03,24,79.867,75.4845,4.3825,0.1827291666666667,1.9621378370424127,0,0.1827291666666667
2025-05-07,24,67.705,65.267,2.4379999999999997,0.18020833333333333,2.1937362843585877,0,0.18020833333333333
2025-06-02,24,64.158,59.85,4.308000000000002,0.17950000000000008,1.9764317128075346,0,0.17950000000000008
2026-01-17,24,96.982,96.457,0.5250000000000006,0.17945833333333336,1.9436468538446654,0,0.17945833333333336
2025-10-29,24,86.451,85.32600000000001,1.124999999999997,0.17904166666666674,2.38103409662615,0,0.17904166666666674
2025-01-11,24,97.848,96.457,1.3909999999999996,0.1753333333333333,1.9712176355116986,0,0.1753333333333333
2025-11-04,24,89.57,93.7745,-4.204500000000003,0.17518750000000013,1.9591755404412103,0,0.17518750000000013
2026-01-18,24,94.515,96.457,-1.9419999999999993,0.17475,2.0300727544864547,0,0.17475
2025-10-28,24,89.5,85.32600000000001,4.1739999999999995,0.17466666666666666,2.219783095456862,0,0.17466666666666666
2025-07-04,24,64.19,61.397,2.793,0.17454166666666668,1.9728893365159033,0,0.17454166666666668
2025-09-19,24,87.615,84.8285,2.7864999999999966,0.11622916666666654,4.687196294648193,1,0.1743437499999998
2025-05-04,24,68.995,64.846,4.149000000000002,0.1742916666666667,2.2677816952098833,0,0.1742916666666667
2025-06-03,24,64.026,59.85,4.176000000000001,0.17400000000000004,2.485244432283304,0,0.17400000000000004
2025-06-05,24,64.003,59.85,4.153,0.17304166666666665,2.485244432283304,0,0.17304166666666665
2025-02-25,24,90.206,94.3485,-4.142499999999998,0.17293749999999994,2.025090983435007,0,0.17293749999999994
2025-04-04,24,79.515,75.4845,4.030500000000002,0.17147916666666665,1.9621378370424127,0,0.17147916666666665
2025-02-27,24,90.256,94.3485,-4.092499999999999,0.17085416666666664,2.025090983435007,0,0.17085416666666664
2025-03-07,24,86.897,84.162,2.735,0.17054166666666667,1.3627804633136835,0,0.17054166666666667
2025-05-02,24,68.655,65.267,3.388000000000002,0.16995833333333335,2.1937362843585877,0,0.16995833333333335
2025-07-10,24,57.333,61.397,-4.064000000000002,0.16950000000000007,2.0039603091351093,0,0.16950000000000007
2025-07-14,24,57.336,61.397,-4.061000000000002,0.16937500000000005,2.0039603091351093,0,0.16937500000000005
2025-06-07,24,64.025,59.961,4.064,0.16933333333333334,2.022328617254081,0,0.16933333333333334
2025-03-06,24,87.364,84.162,3.2019999999999995,0.1691666666666667,1.4302448426856482,0,0.1691666666666667
2025-07-11,24,57.342,61.397,-4.055,0.16912499999999997,2.0039603091351093,0,0.16912499999999997
2025-07-08,24,57.37,61.397,-4.027000000000001,0.1677916666666667,0.950891832413402,0,0.1677916666666667
2025-06-04,24,63.876,59.85,4.026,0.16774999999999998,1.6443483355878405,0,0.16774999999999998
2025-09-28,24,89.338,85.42699999999999,3.911000000000001,0.1670833333333334,1.932179832832472,0,0.1670833333333334
2025-07-18,24,57.638,61.397,-3.7590000000000003,0.16679166666666667,2.0039603091351093,0,0.16679166666666667
2025-07-21,24,59.225,61.397,-2.1720000000000006,0.16641666666666666,2.1255206273476754,0,0.16641666666666666
