Date,GAF_ReconError_Raw,n_present,presence_ratio,GAF_ReconError_MaskAware,GAF_Anomaly_Score
2025-11-13,0.10624618778793578,24,1.0,0.10624618778793578,0.08345424460867222
2025-06-30,0.10616973797131131,24,1.0,0.10616973797131131,0.08337194216939225
2025-12-17,0.10610904783477842,24,1.0,0.10610904783477842,0.0833066058939447
2025-07-01,0.10592821612148023,24,1.0,0.10592821612148023,0.08311193059241032
2025-12-25,0.10576002603880197,24,1.0,0.10576002603880197,0.08293086470267617
2025-12-22,0.10557519288768609,24,1.0,0.10557519288768609,0.08273188163288851
2025-01-03,0.10509938675476099,24,1.0,0.10509938675476099,0.08221965011824062
2025-06-14,0.10471346602250042,24,1.0,0.10471346602250042,0.08180418518926927
2025-01-09,0.10429861556192856,24,1.0,0.10429861556192856,0.08135757581400813
2025-01-14,0.10410047526197605,24,1.0,0.10410047526197605,0.08114426686539598
2025-07-05,0.10343784613065388,24,1.0,0.10343784613065388,0.08043091010073988
2025-07-02,0.10337391532308796,24,1.0,0.10337391532308796,0.08036208506439402
2025-06-09,0.10334997536244489,24,1.0,0.10334997536244489,0.08033631237788949
2025-01-10,0.10295995523537144,24,1.0,0.10295995523537144,0.07991643422456303
2025-07-06,0.10288374794890348,24,1.0,0.10288374794890348,0.07983439288235773
2025-12-11,0.10285874020905643,24,1.0,0.10285874020905643,0.07980747067271528
2025-12-19,0.10274868152819756,24,1.0,0.10274868152819756,0.0796889864395468
2025-07-04,0.10236771950574883,24,1.0,0.10236771950574883,0.07927885983486732
2025-07-09,0.10211383072477918,24,1.0,0.10211383072477918,0.07900553457521023
2025-06-13,0.10170604181555211,24,1.0,0.10170604181555211,0.07856652734899847
2025-06-10,0.10100839004682473,24,1.0,0.10100839004682473,0.07781546678574955
2025-06-08,0.10028150361979707,24,1.0,0.10028150361979707,0.07703293350227886
2025-12-14,0.10017992516384033,24,1.0,0.10017992516384033,0.07692357869840014
2025-06-11,0.10006506825651475,24,1.0,0.10006506825651475,0.07679992891010197
2025-01-12,0.09927441043356137,24,1.0,0.09927441043356137,0.07594874220569821
2025-01-11,0.09922836799309596,24,1.0,0.09922836799309596,0.075899174982021
2025-06-05,0.09815473719828383,24,1.0,0.09815473719828383,0.07474335228419583
2025-12-12,0.09806330374246447,24,1.0,0.09806330374246447,0.07464491913186147
2025-06-07,0.09759902929479562,24,1.0,0.09759902929479562,0.07414510211168203
