Date,OSF_ID,Priority,CombinedScore,AnomalyTypes,RuleScore,ForecastScore,GAFScore,CPScore,Anomaly_Hours,CP_Proximity_Days,missing_ratio,data_quality_flag
2025-01-13,2193681000,LOW,0.13776865863300208,ScheduleShift,0.3333333333333333,0.008528915426976239,0.0718832533578795,0.10416666666666667,0,7,0.0,complete
2025-01-12,2193681000,LOW,0.13746103011024932,ScheduleShift,0.3333333333333333,0.014272878877796973,0.07594874228746121,0.08994708994708994,0,8,0.0,complete
2025-05-02,2193681000,LOW,0.13666343924630966,ScheduleShift,0.3333333333333333,0.012840617861488424,0.04160728984747895,0.12244897959183673,0,6,0.0,complete
2025-05-14,2193681000,LOW,0.136548310798202,ScheduleShift,0.3333333333333333,0.009536802808823004,0.045987370185938736,0.12244897959183673,1,6,0.0,complete
2025-05-01,2193681000,LOW,0.13649277558205805,ScheduleShift,0.3333333333333333,0.022964249836715613,0.04385083648855024,0.10416666666666667,1,7,0.0,complete
2025-08-19,2193681000,LOW,0.13636472110623205,ScheduleShift,0.3333333333333333,0.007366861060735167,0.023947917114660655,0.1468253968253968,0,5,0.0,complete
2025-09-04,2193681000,LOW,0.1355442457124283,ScheduleShift,0.3333333333333333,0.040265763988581726,0.01315591591260217,0.10416666666666667,2,7,0.0,complete
2025-07-23,2193681000,LOW,0.13546792688973125,ScheduleShift,0.3333333333333333,0.022219938266897863,0.05406263710121951,0.08994708994708994,0,8,0.0,complete
2025-02-26,2193681000,LOW,0.13542211847734856,ScheduleShift,0.3333333333333333,0.011400068297631788,0.01318509311489828,0.1468253968253968,0,5,0.0,complete
2025-01-28,2193681000,LOW,0.13501832877731623,ScheduleShift,0.3333333333333333,0.023226167939235008,0.05030530203063874,0.08994708994708994,0,8,0.0,complete
2025-01-11,2193681000,LOW,0.13487461280152266,ScheduleShift,0.3333333333333333,0.013268306914969451,0.07589917506373066,0.07857142857142858,0,9,0.0,complete
2025-08-07,2193681000,LOW,0.13470114795094015,ScheduleShift,0.3333333333333333,0.022803452014282827,0.035133895066609876,0.10416666666666667,0,7,0.0,complete
2025-05-15,2193681000,LOW,0.13457357029155198,ScheduleShift,0.3333333333333333,0.011849307574737837,0.050927223428986465,0.10416666666666667,2,7,0.0,complete
2025-04-19,2193681000,LOW,0.13423125731616428,ScheduleShift,0.3333333333333333,0.003429800975396278,0.01918618829233019,0.1468253968253968,0,5,0.0,complete
2025-07-16,2193681000,LOW,0.13406417624201636,ScheduleShift,0.3333333333333333,0.02749476992649717,0.08890015489176471,0.04017857142857143,1,15,0.0,complete
2025-07-22,2193681000,LOW,0.13367631371670638,ScheduleShift,0.3333333333333333,0.017220286385894887,0.06397971043326109,0.07857142857142858,0,9,0.0,complete
2025-09-03,2193681000,LOW,0.13334145879496623,ScheduleShift,0.3333333333333333,0.018866391928943946,0.015958726489578547,0.12244897959183673,0,6,0.0,complete
2025-01-10,2193681000,LOW,0.13250219491924936,ScheduleShift,0.3333333333333333,0.008886980681053376,0.07991643431059746,0.06926406926406926,0,10,0.0,complete
2025-01-29,2193681000,LOW,0.13236015855876257,ScheduleShift,0.3333333333333333,0.023242745034331172,0.048365246670887554,0.07857142857142858,0,9,0.0,complete
2025-02-27,2193681000,LOW,0.13168659565907453,ScheduleShift,0.3333333333333333,0.012911899370401927,0.016616149647933003,0.12244897959183673,0,6,0.0,complete
2025-08-22,2193681000,LOW,0.131349093515252,ScheduleShift,0.3333333333333333,0.007854227656562381,0.022515146499579797,0.12244897959183673,0,6,0.0,complete
2025-08-20,2193681000,LOW,0.1310930226890305,ScheduleShift,0.3333333333333333,0.007167935919581201,0.02226422997394397,0.12244897959183673,0,6,0.0,complete
2025-01-09,2193681000,LOW,0.1308572604152065,ScheduleShift,0.3333333333333333,0.007613859777668001,0.08135757590159402,0.061507936507936505,0,11,0.0,complete
2025-03-17,2193681000,LOW,0.13057013972738624,,0.0,0.09475768958696207,0.49357130711363095,0.017142857142857144,2,24,0.0833,partial_missing
2025-01-08,2193681000,LOW,0.13038011971338545,ScheduleShift,0.3333333333333333,0.007570759330417981,0.08559940462624538,0.05494505494505495,0,12,0.0,complete
2025-01-30,2193681000,LOW,0.13007278831759503,ScheduleShift,0.3333333333333333,0.025033071304716863,0.04355026536683066,0.06926406926406926,0,10,0.0,complete
2025-05-16,2193681000,LOW,0.12929207425492195,ScheduleShift,0.3333333333333333,0.00454875489438733,0.049690148985938785,0.08994708994708994,0,8,0.0,complete
2025-01-05,2193681000,LOW,0.12920704870876157,ScheduleShift,0.3333333333333333,0.011637120757506938,0.08840099097897594,0.04017857142857143,0,15,0.0,complete
2025-04-18,2193681000,LOW,0.12906450464210711,ScheduleShift,0.3333333333333333,0.004026576398858173,0.016833679020411586,0.12244897959183673,0,6,0.0,complete
2025-01-07,2193681000,LOW,0.12905510953552154,ScheduleShift,0.3333333333333333,0.00722595575241777,0.08511688615782471,0.04931972789115646,0,13,0.0,complete
2025-03-03,2193681000,LOW,0.12866463592270683,ScheduleShift,0.3333333333333333,0.037384664860868444,0.017982113058162236,0.06926406926406926,2,10,0.0,complete
2025-03-01,2193681000,LOW,0.12856979877681227,ScheduleShift,0.3333333333333333,0.02402601277762489,0.016862884770534027,0.08994708994708994,1,8,0.0,complete
